name,risk,lon,lat
"Abbey gate lodge & gates, Rosemount House Greyabbey, Newtownards Co. Down BT22 2QA",unknown,-5.557253,54.531542
"Hardford Lodge, 65 West Street Newtownards Co. Down BT23 4EN",unknown,-5.699622,54.594792
"Mountpleasant, 148A Scrabo Road, Ballycullen Newtownards Co. Down BT23 4NN",unknown,-5.715096,54.588993
"41 Court Street, Newtownards",Critical,-5.694736,54.591416
"43 Court Street, Newtownards",Critical,-5.69462,54.591404
"49 Court Street, Newtownards",Critical,-5.696305,54.591402
"53 Court Street, Newtownards",Critical,-5.694042,54.591347
"55 Court Street, Newtownards",Critical,-5.693926,54.591335
"stables Castle Dillon, Portadown Road, Armagh",Critical,-6.58871,54.37015
"Gate lodge, Glenanne House, Orange Road, Glenanne",Critical,-6.49522,54.24304
	159 Tullysaran Road Laraghshankill Benburb Co. Armagh BT61 8HF,unknown,-6.720715,54.382961
"former Drumbee National School, Drumbeebeg Road, Armagh",Critical,-6.599599,54.33575
CARFINTON COTTAGE  132 BANN ROAD  CARFINTON  RASHARKIN  CO.ANTRIM,unknown,-6.20725,54.719534
"11 Moyallan Road, Gilford",Critical,-6.368977,54.381586
"Brookfield House, Scarva Road, Banbridge",Critical,-6.304574,54.346725
"36 Cliftonville Road, Belfast",Critical,-5.939582,54.614429
"58-60 Lower North Street, 2 Lower Garfield Street, Belfast",Critical,-5.931051,54.601083
"The Chapel of the Resurrection, Innisfayle Park, Belfast",Critical,-5.939148,54.637364
1 Lennoxvale Malone Road Belfast Co Antrim BT9 5BY,Critical,-5.93884,54.578315
"32-34 The Mount, Belfast",Critical,-5.906131,54.593761
"36 The Mount, Belfast",Critical,-5.905926,54.593691
"Jennymount Mill, Jennymount Industrial Estate North Derby Street Belfast",unknown,-5.923811,54.616452
"Kelly's, 4 Governor's Place, Carrickfergus",Critical,-5.810121,54.726187
"Kelly's, 4 Governor's Place, Carrickfergus",Critical,-5.810121,54.726187
St Brigid's Convent and National School Convent Road Cookstown Co Tyrone BT80 8QA,unknown,-6.748964,54.642408
"19-21 High Street Moneymore, Magherafelt, Co. Londonderry BT45 7PA",Critical,-6.670242,54.691726
"17 Valley Lane, Holdens Valley, Waringstown",Critical,-6.30027,54.43521
"19 Old Lurgan Road Bocombra, Portadown Co. Armagh BT63 5SG",unknown,-6.412764,54.430122
"KILLEA MORTUARY CHAPEL, KILLEA, CO.LONDONDERRY",Critical,-7.308575,54.996612
"Presbyterian Church, Great James Street, Derry",Critical,-7.324075,54.999649
"Burrenwood Cottage, 32 Burrenwood Road, Burrenreagh Castlewellan Co Down BT31 9DR",unknown,-5.945265,54.25312
"Clough House, 32 Main Street, Clough",Critical,-5.837128,54.291091
Isabella Tower Ardglass,Critical,-5.610833,54.263303
"13 Altadaven Road, Favour Royal, Augher",Critical,-7.13232,54.42792
"gate lodge to Bloomhill, Newmills Road, Dungannon",Critical,-6.751552,54.572422
"Outbuildings at Fardross House, 10 Fardross Road, Clogher, Co. Tyrone.",Critical,-7.0941,54.60296
"National School (Adcacent to Convent of Mercy HB13/20/012) Northland Row, Dungannon",unknown,-6.76436,54.503719
"Ballagh Cottage, Ballagh Lisnaskea Co. Fermanagh BT92 5DJ",unknown,-7.345345,54.230524
"Estate Cottages, 178-182 Ballagh Road Ballagh, Lisnaskea Co. Fermanagh BT92 5DJ",unknown,-7.345345,54.230524
"81 Tullylammy Road, Killadeas, County Fermanagh",Critical,-7.67243,54.458174
"Tempo Manor, 4 Tullyreagh Road, Tempo",Critical,-7.4549102783,54.3787577722
"Kilwaughter Castle, Kilwaughter Larne Co Antrim",unknown,-6.20725,54.719534
"Kilwaughter Castle, Kilwaughter Larne Co Antrim",unknown,-6.20725,54.719534
"1 Dornanﾒs Road, Gortrany, Ballinderry Lisburn Co. Antrim BT28 2JT",unknown,-6.269934,54.547333
"ROWAN'S GIFT 18 DRUMLAMPH LANE  DRUMLAMPH, CASTLEDAWSON  CO.LONDONDERRY",unknown,-7.308575,54.996612
"20 Old Road, Glasdrumman Annalong, Newry Co Down BT33 0QQ",unknown,-5.854239,54.24169
Former Quaker Meeting House Newry Street Rathfriland Newry Co Down BT34 5PY,unknown,-6.163458,54.237779
"East Lodge to Tamnaharry House, Bridge Road Newry Co Down BT34 2EY",unknown,-6.238711,54.159213
"Kinghill, Kinghill Road, Cabra Newry Co Down BT34 5RB",unknown,-6.083201,54.225812
"37 Ballykeel Road, Rathfriland Co Down BT34 5AZ",unknown,-6.223066,54.208997
"2-3 Sugarhouse Quay, Newry Co Down BT35 6HZ",unknown,-6.336946,54.178966
241 Newry Road Kilkeel,Critical,-6.06995,54.072175
"Windmill stump, Holywood, County Down",Critical,-5.715767,54.327699
"The Tread Wheel, Castle Place, Omagh, County Tyrone",Critical,-7.0941,54.60296
"24 Meenablagh Road Aghyaran, Castlederg Co Tyrone BT81 7YH",unknown,-7.847868,54.698375
"1 New Street, Randalstown, County Antrim",High,-6.321381,54.74864
"Protestant Hall, 19 Railway Street Antrim BT41 4AE",unknown,-6.217732,54.714504
"Ben Neagh, 11 Crumlin Road Crumlin Co Antrim BT29 4AD",unknown,-6.215075,54.624288
"Iron footbridge, over the Six Mile Water, south-east of Muckamore Bridge, adjacent to Seven Mile Straight Muckamore Antrim Co Antrim",High,-6.20725,54.719534
"Iron footbridge, over the Six Mile Water, south-east of Muckamore Bridge, adjacent to Seven Mile Straight Muckamore Antrim Co Antrim",High,-6.20725,54.719534
"7 High Street, Portaferry  Co Down BT22 1QT",unknown,-5.543363,54.382772
"7 High Street, Portaferry  Co Down BT22 1QT",unknown,-5.543363,54.382772
"Water Tower, Huntﾒs Park (off Killaughey Road) Donaghadee Co. Down",unknown,-5.715767,54.327699
"146 Portaferry Road, Cunningburn Newtownards Co. Down BT22 2AH",unknown,-5.64756,54.570917
"22-24 Court Street, Newtownards",High,-5.695104,54.591431
"Florida Manor, 14 Florida Road, Kilmood Killinchy, Newtownards Co Down BT23 6RU",unknown,-5.721481,54.483085
"Gate Lodge at Florida Manor, 12 Florida Road Kilmood, Killinchy Co Down BT23 6RU",unknown,-5.721481,54.483085
"5 High Street, Donaghadee, County Down",High,-5.537331,54.642362
"6-8 Church Street, Portaferry Co Down BT22 1LS",unknown,-5.547287,54.382237
"38-40 Shore Road, Portaferry, Co. Down BT22 1JZ",High,-5.552065,54.360552
